Episode No.,Destination Reached,No. of ped collisions,No. of layout collisions,No. of vehicle collisions,Cloud policy energy consumption,Idle energy consumption,Route completion,Route deviation
1,0,22,0,0,9.881938695907593,0.018720626831054688,3.2879285596215544,2145.5925010790224
2,0,27,0,0,10.685852766036987,0.019292831420898438,1.4100442876630408,2555.643061939226
3,0,26,0,0,10.279536247253418,0.018463134765625,1.5387265413421434,2549.900235940928
4,0,25,0,0,10.500479936599731,0.019407272338867188,1.8158825109774714,2529.383980326211
5,0,25,0,0,10.572316646575928,0.01880645751953125,1.8158716298637714,2529.379639310652
6,0,24,0,0,10.723382234573364,0.020055770874023438,1.6494168087821537,2535.423437133527
7,0,34,1,139,6.744563579559326,0.022344589233398438,19.956848939904006,2707.2382539043533
8,0,26,0,0,10.436351299285889,0.019044876098632812,1.7636313086173494,2533.769236218184
9,0,26,0,0,10.794271230697632,0.019578933715820312,1.72636757509937,2542.263352051496
10,0,25,0,0,10.388902425765991,0.019779205322265625,1.1517794886633712,2557.330965580743
11,0,25,0,0,11.497538089752197,0.019741058349609375,1.1831339472616809,2560.3393163960372
12,0,31,0,0,10.33639907836914,0.020275115966796875,1.6472750878491318,2540.5929308319733
13,0,24,0,0,10.842794179916382,0.0200653076171875,1.6058774905924327,2539.948939475234
14,0,20,0,0,11.722525358200073,0.018949508666992188,1.6713802433175446,2540.098734536397
15,0,44,0,0,9.978731870651245,0.020284652709960938,1.838008248360176,2547.95826582286
16,0,25,0,0,10.77045202255249,0.019750595092773438,2.133759576794843,2532.105605965352
17,0,29,1,1,0.5858767032623291,0.029153823852539062,15.154391355576047,2841.920678330956
18,0,25,0,0,11.44579291343689,0.01918792724609375,1.618361771613189,2537.7488928512057
19,0,20,0,0,12.604025602340698,0.018339157104492188,1.3121097934939625,2543.5893200764117
20,0,20,0,0,12.298356294631958,0.0179290771484375,1.5134551143475647,2537.774814299367
