Success Rate,Infraction Count (Pedestrian Collisions),Energy Consumption (J),Total Latency (s),Route Completion (%),Avg. Route Deviation (m),Time taken (s),Number of steps taken by local model,Number of steps taken by global model
0,8,225.00000000000566,0,76.22084864372698,17.42578692028656,388.1731595993042,1500,0
0,4,225.00000000000566,0,76.22084864372698,18.567511333308737,370.43623757362366,1500,0
0,6,225.00000000000566,0,76.22084864372698,18.429114154737732,372.45269775390625,1500,0
0,3,225.00000000000566,0,76.22084864372698,18.43330635385262,354.77701473236084,1500,0
0,11,225.00000000000566,0,76.22084864372698,18.67640017816678,366.7272353172302,1500,0
0,8,225.00000000000566,0,76.22084864372698,18.382136418756538,377.7362139225006,1500,0
0,10,225.00000000000566,0,76.22084864372698,18.003052293305707,373.2480421066284,1500,0
0,13,225.00000000000566,0,76.22084864372698,17.197654664539805,371.2610740661621,1500,0
0,7,225.00000000000566,0,76.22084864372698,18.75261687287102,369.3546702861786,1500,0
0,4,225.00000000000566,0,76.22084864372698,18.050814267651642,359.10028648376465,1500,0
