Episode No.,Destination Reached,No. of ped collisions,No. of layout collisions,No. of vehicle collisions,Cloud policy energy consumption,Idle energy consumption,Route completion,Route deviation
1,0,37,0,0,8.444130420684814,0.019903182983398438,1.3842081782469768,2569.5627457721603
2,0,32,0,0,8.645172119140625,0.019578933715820312,1.4818509781243758,2520.000685713286
3,0,26,2,0,10.206688642501831,0.018262863159179688,11.651637597730447,2792.3505468951334
4,0,30,0,0,8.107881546020508,0.020236968994140625,1.0346538710593074,2553.0257117802535
5,0,38,0,0,8.67107629776001,0.020236968994140625,1.3405160170532449,2601.289831258888
6,0,32,0,0,8.611749410629272,0.019617080688476562,1.0075768468522588,2549.252958306051
7,0,32,0,0,10.064847469329834,0.018091201782226562,1.0150042449759864,2542.9022575023455
8,0,37,0,0,8.536816835403442,0.019969940185546875,1.5380342427421936,2508.7401791419
9,0,25,1,0,0.0,0.028238296508789062,21.53880337070849,4114.267021519796
10,0,28,2,0,10.059666633605957,0.017747879028320312,15.741299422668252,2808.8615288480123
11,0,34,0,0,9.980816841125488,0.018262863159179688,1.0739044151502832,2579.1891564715
12,0,22,0,0,10.588933229446411,0.018138885498046875,1.2061058145851864,2523.712250402286
13,0,31,0,0,9.824380874633789,0.017709732055664062,1.5790568746445761,2516.4371211329535
14,0,22,0,0,10.720539093017578,0.0174713134765625,1.176582237608581,2523.425214111251
15,0,32,0,0,10.661085844039917,0.018243789672851562,1.0388739642925773,2563.442288931197
16,0,36,0,0,10.529543161392212,0.017833709716796875,1.4884255879461463,2570.649821834962
17,0,32,0,0,9.677295684814453,0.01819610595703125,1.3620667739669563,2588.422203144106
18,0,36,0,0,10.0551176071167,0.018796920776367188,1.2585325488228707,2608.665668198312
19,0,26,1,0,10.113749504089355,0.017309188842773438,20.218649410246464,3020.1282337628627
20,0,34,0,0,9.883960485458374,0.01819610595703125,1.0739044151502832,2579.1891564715
