Success Rate,Infraction Count (Pedestrian Collisions),Local Power Consumption (J),Distance travelled (m),Route Completion (%),Avg. Route Deviation (m)
1,35,0.0,27.79035571795949,100.0,0.08259146724772852
1,10,0.0,60.18314732265518,100.0,0.05744810749159022
1,17,0.0,36.586699798488915,100.0,0.10944212985649694
1,42,0.0,27.206150685485746,100.0,0.09525738065516205
1,32,0.0,27.538765813903574,100.0,0.10205978261709044
1,35,0.0,27.702586667626512,100.0,0.109357346446276
1,25,0.0,77.38403334612805,100.0,0.05281078592424958
1,27,0.0,27.647319682361207,100.0,0.07357288846107629
1,10,0.0,35.791979312798624,100.0,0.12030562434490244
1,42,0.0,29.070316275039154,100.0,0.07521920330333352
1,33,0.0,27.423751658995005,100.0,0.06402010540659686
1,30,0.0,27.50032247363934,100.0,0.05281078592424958
1,39,0.0,27.266683669575208,100.0,0.07665549257263439
1,28,0.0,27.669814630913397,100.0,0.10232931920997848
1,11,0.0,32.964581521861376,100.0,0.06907655284720329
1,72,0.0,29.806329578741778,100.0,0.10195972041332108
1,45,0.0,27.47551368334968,100.0,0.11000440275986768
1,31,0.0,27.51922067594558,100.0,0.07285403805216724
1,41,0.0,27.304142805858845,100.0,0.12372595112956099
1,47,0.0,27.41824281645845,100.0,0.08843922775704105
