Episode No.,Destination Reached,No. of ped collisions,No. of layout collisions,No. of vehicle collisions,Cloud policy energy consumption,Idle energy consumption,Route completion,Route deviation
1,0,0,136,26,30.73878288269043,0.0,28.70976549780922,0.8124804311134198
2,1,12,101,0,28.17603826522827,0.001773834228515625,27.047033708519155,0.1269055723095174
3,1,0,100,0,27.67495036125183,0.0,27.03573162406681,0.1343571446983298
4,1,0,100,0,27.71153211593628,0.0,27.03322848275948,0.13084455715597273
5,1,0,100,0,28.136171102523804,0.0,27.033041070915072,0.13566699063588417
6,1,0,100,0,28.089354038238525,0.0,27.033197442213375,0.13089127347315688
7,0,0,100,52,29.86334800720215,0.0,26.030286251539557,1.234784291797178
8,0,1,39,0,13.831883668899536,6.67572021484375e-05,14.674393204991013,4.903831613308904
9,0,0,101,52,29.794291257858276,0.0,26.03204203185435,1.2347055311332784
10,1,0,101,0,27.815654277801514,0.0,27.033958314730945,0.1427927511981852
