Episode No.,Destination Reached,No. of ped collisions,No. of layout collisions,No. of vehicle collisions,Cloud policy energy consumption,Idle energy consumption,Route completion,Route deviation
1,0,23,0,0,8.941996097564697,0.01522064208984375,1.3360200605218737,2411.197531145334
2,0,23,0,0,11.218152046203613,0.014867782592773438,0.3792256417793487,2555.5211508490297
3,0,23,0,0,9.979047775268555,0.015439987182617188,0.31815428988213645,2556.385022054624
4,0,23,0,0,9.36789870262146,0.015430450439453125,0.38554683716596155,2558.5308037469467
5,0,23,0,0,9.309519529342651,0.015649795532226562,0.473761413568425,2554.284406943539
6,0,23,0,0,9.908348321914673,0.014352798461914062,0.47278949742118537,2554.1407730192705
7,0,22,0,0,9.28437352180481,0.015621185302734375,0.40582300454588405,2553.5712459766532
8,0,22,0,0,9.190486669540405,0.015535354614257812,1.1986144471865188,2581.0495520915247
9,0,21,0,0,8.964930772781372,0.016422271728515625,0.4070927590454837,2562.0873393668912
10,0,21,0,0,10.123037099838257,0.0160980224609375,0.37757163288653156,2555.724629197762
11,0,21,0,0,9.87555742263794,0.015621185302734375,0.37399487927480524,2553.1460998826146
12,0,21,0,0,9.884718656539917,0.016298294067382812,0.31018345465131636,2557.764380835347
13,0,24,0,0,10.041091442108154,0.016021728515625,0.33714629178946487,2552.027390461372
14,0,22,0,0,9.883897304534912,0.015287399291992188,0.3784931988995588,2553.7851889894646
15,0,21,0,0,10.216102600097656,0.014657974243164062,0.4034785182474534,2564.594532145222
16,0,23,0,0,9.88876223564148,0.015764236450195312,0.2889740055288218,2557.7437487602297
17,0,23,0,0,8.91767144203186,0.01598358154296875,0.5532012169239016,2569.7896965281443
18,0,23,0,0,9.008209705352783,0.015201568603515625,0.47510315120246205,2567.772926597551
19,0,20,0,0,10.449177026748657,0.014982223510742188,0.5312895085027967,2571.292884446952
20,0,21,0,0,10.156017541885376,0.014657974243164062,0.5069096685304737,2574.4810232022596
