Episode No.,Destination Reached,No. of ped collisions,No. of layout collisions,No. of vehicle collisions,Cloud policy energy consumption,Idle energy consumption,Route completion,Route deviation
1,0,20,0,0,10.297290086746216,0.017518997192382812,0.7765302297824851,2609.749561062867
2,0,20,0,0,11.226112842559814,0.019397735595703125,0.3609492969369999,2702.6559668045375
3,0,20,0,0,10.302660465240479,0.019989013671875,0.3613646686211308,2702.1745723024296
4,0,21,0,0,10.63941478729248,0.018749237060546875,0.45235546792124803,2707.9212610847726
5,0,21,0,0,10.379235744476318,0.019121170043945312,0.4067401716675612,2702.155314425531
6,0,20,0,0,10.046714544296265,0.019359588623046875,0.36239677384539315,2701.797045911718
7,0,20,0,0,10.488981008529663,0.018453598022460938,0.3609492969369999,2702.6559668045375
8,0,21,0,0,10.73873519897461,0.018568038940429688,0.5388180766120069,2719.557529170014
9,0,22,0,0,11.536015272140503,0.019817352294921875,0.38528670593964276,2702.211394311771
10,0,21,0,0,10.61862826347351,0.019960403442382812,0.4396720007441691,2708.8980123060737
11,0,22,0,0,10.561133623123169,0.018634796142578125,0.3613646686211308,2702.1745723024296
12,0,23,0,0,10.993670225143433,0.0188446044921875,0.3694788718796805,2702.0274680780417
13,0,23,0,0,10.059919357299805,0.018224716186523438,0.3615086399754318,2701.65270812157
14,0,21,0,0,10.356237888336182,0.018482208251953125,0.4505468876637245,2709.710766376988
15,0,21,0,0,10.259571075439453,0.018758773803710938,0.4289082241607078,2704.242522476824
16,0,22,0,0,9.77421522140503,0.018835067749023438,0.37360613375487556,2699.8356348588395
17,0,18,0,0,11.81022047996521,0.016927719116210938,0.5344757817224531,2732.17456480332
18,0,18,0,0,11.2249755859375,0.018253326416015625,0.35950456446627443,2704.3843045419926
19,0,18,0,0,11.653658151626587,0.017576217651367188,0.35555977977957093,2709.4154612878197
20,0,18,0,0,11.558128595352173,0.017576217651367188,0.35638394834634607,2708.3137458400593
