Episode No.,Destination Reached,No. of ped collisions,No. of layout collisions,No. of vehicle collisions,Cloud policy energy consumption,Idle energy consumption,Route completion,Route deviation
1,0,28,53,0,14.689943790435791,0.0115203857421875,15.742630229462556,2620.136163078595
2,0,0,39,0,18.116434812545776,0.010356903076171875,14.693362567214587,2655.8754349913947
3,0,0,33,0,16.840559244155884,0.01026153564453125,14.653563759818928,2659.575093217245
4,0,0,39,0,17.440398931503296,0.010356903076171875,14.693660695243869,2655.9255916899006
5,0,0,42,0,18.736555576324463,0.010156631469726562,14.706086174175297,2660.705357282107
6,0,0,39,0,17.740002870559692,0.011043548583984375,14.694163588727678,2657.5250127439513
7,0,0,39,0,17.831615209579468,0.010595321655273438,14.693434195693639,2655.923081973839
8,0,0,39,0,17.26861000061035,0.010309219360351562,14.693528898339824,2656.534515152243
9,0,0,39,0,17.689205408096313,0.010519027709960938,14.693205113356102,2655.39831262062
10,0,0,33,0,17.935231924057007,0.01140594482421875,14.680523370512713,2659.9640510083696
11,0,0,33,0,18.13399910926819,0.010509490966796875,14.679783978646707,2659.8874287756325
12,0,0,33,0,18.204445838928223,0.01041412353515625,14.682225493514773,2658.756375708508
13,0,0,36,0,17.76830792427063,0.010404586791992188,14.68652630975931,2657.186721924014
14,0,0,36,0,17.37247943878174,0.010967254638671875,14.686089266134433,2657.1625327747815
15,0,2,26,0,17.6260244846344,0.010204315185546875,14.654132023103287,2666.069720244735
16,0,1,31,0,16.781864166259766,0.010366439819335938,14.673547002681618,2662.9585003263505
17,0,0,36,0,16.919851303100586,0.009937286376953125,14.6863639080044,2657.173752473688
18,0,0,36,0,16.578863859176636,0.010471343994140625,14.686713712478982,2657.097775897952
19,0,14,26,0,17.88418173789978,0.009975433349609375,14.653701759964958,2666.069566893018
20,0,14,33,0,16.444225311279297,0.0098419189453125,14.669583589288889,2668.082113374722
