Episode No.,Destination Reached,No. of ped collisions,No. of layout collisions,No. of vehicle collisions,Cloud policy energy consumption,Idle energy consumption,Route completion,Route deviation
1,0,0,182,0,22.814884185791016,0.011835098266601562,15.669560475792661,7.133226823615498
2,0,6,223,0,16.57172441482544,0.015325546264648438,12.805232446801464,5.882836856960051
3,0,5,229,0,17.622612714767456,0.013360977172851562,12.615291901824303,6.011045457733512
4,0,4,225,0,16.798038482666016,0.01399993896484375,12.764882883161704,5.909941017943053
5,0,0,232,0,18.903290033340454,0.012464523315429688,12.463164555596318,6.11546760228007
6,0,4,229,0,17.80261516571045,0.013093948364257812,12.576545637766612,6.03757909250797
7,0,0,234,0,18.218408823013306,0.012655258178710938,12.319230692941021,6.216067586649855
8,0,0,234,0,18.89520287513733,0.013170242309570312,12.394093781685402,6.163965569745823
9,0,5,225,0,18.369853496551514,0.015611648559570312,12.794020612771426,5.890752521845083
10,0,3,223,0,16.34528398513794,0.013933181762695312,12.849292875638277,5.853661408858052
