Episode No.,Destination Reached,No. of ped collisions,No. of layout collisions,No. of vehicle collisions,Cloud policy energy consumption,Idle energy consumption,Route completion,Route deviation
1,0,0,375,0,31.932586431503296,0.0,15.153869950207618,7.133260290373682
2,0,0,310,0,32.45022773742676,0.0,14.86374389379727,7.133270152701723
3,0,0,310,0,32.74136543273926,0.0,14.863735895904377,7.133270152701723
4,0,0,309,0,32.27161526679993,0.0,14.864105696434184,7.133265240493851
5,0,0,309,0,31.954004764556885,0.0,14.864068328879025,7.133257545976133
6,0,0,310,0,36.11528992652893,0.0,14.86373650578613,7.133270152701723
7,0,0,310,0,32.19150185585022,0.0,14.863739646396606,7.133270152701723
8,0,0,310,0,32.65929341316223,0.0,14.863735744145316,7.133270152701723
9,0,0,310,0,33.07723522186279,0.0,14.863729245691784,7.133270152701723
10,0,0,310,0,32.64842629432678,0.0,14.86372846968336,7.133270152701723
