Episode No.,Destination Reached,No. of ped collisions,No. of layout collisions,No. of vehicle collisions,Cloud policy energy consumption,Idle energy consumption,Route completion,Route deviation
1,0,0,0,0,15.898405313491821,0.012903213500976562,9.391691759040611,2675.7759908287026
2,0,14,0,0,18.378193378448486,0.012989044189453125,7.905833171492958,2565.590121342411
3,0,6,0,0,17.08475351333618,0.01270294189453125,7.711847030415027,2574.0883929970946
4,0,16,0,0,16.356656551361084,0.014238357543945312,8.15364340437661,2584.088431575606
5,0,10,0,0,16.822489500045776,0.01262664794921875,7.819545613688048,2571.3031143764956
6,0,18,0,0,16.529266834259033,0.014133453369140625,8.118929011826427,2567.8875121960646
7,0,17,60,0,15.918117761611938,0.013456344604492188,8.212559156510741,2588.2556056992908
8,0,17,0,0,16.32215976715088,0.013217926025390625,8.020827953154415,2571.021811471868
9,0,16,0,0,15.566705465316772,0.014438629150390625,8.153624251364704,2584.5967034410946
10,0,10,0,0,17.39832043647766,0.012998580932617188,7.819476949359395,2571.28887030827
11,0,16,0,0,16.187458038330078,0.013723373413085938,8.183327386996645,2587.0727877020377
12,0,17,0,0,15.659644603729248,0.014104843139648438,8.177030918788162,2587.3750949527443
13,0,18,0,0,15.849945545196533,0.013875961303710938,8.243223262062749,2588.531027582896
14,0,15,0,0,15.962533950805664,0.014467239379882812,8.08669262602007,2580.0785895033546
15,0,16,0,0,16.112462282180786,0.01438140869140625,8.174530219752565,2586.2297404229093
16,0,18,0,0,17.63234257698059,0.013780593872070312,8.2262530299139,2581.8409296212008
17,0,16,0,0,17.086080312728882,0.01277923583984375,8.005529473725625,2570.3751005748054
18,0,17,0,0,15.919570922851562,0.014934539794921875,8.186950410707018,2587.1800004630113
19,0,6,0,0,18.726004362106323,0.012216567993164062,7.683258382165594,2573.2133673718777
20,0,7,0,0,16.734352111816406,0.01262664794921875,7.776118354670027,2574.1575433149333
