Episode No.,Destination Reached,No. of ped collisions,No. of layout collisions,No. of vehicle collisions,Cloud policy energy consumption,Idle energy consumption,Route completion,Route deviation
1,0,14,303,0,18.614174127578735,0.016565322875976562,14.771777333499417,2690.9012458816246
2,0,15,275,0,20.347732305526733,0.016984939575195312,14.775793689780526,2676.5956368307156
3,0,16,275,0,18.588712215423584,0.016813278198242188,14.772368132470264,2678.881102705503
4,0,16,275,0,18.779139518737793,0.016431808471679688,14.775906362244656,2676.725122745284
5,0,15,275,0,18.45287322998047,0.015687942504882812,14.773886449537423,2678.3545013732105
6,0,15,274,0,17.824665307998657,0.016918182373046875,14.775894924191967,2676.792996392236
7,0,2,275,0,18.70142698287964,0.01506805419921875,14.772302506081733,2675.2687237644946
8,0,16,275,0,18.826335668563843,0.015707015991210938,14.775081983238266,2676.492247652756
9,0,16,274,0,18.516180515289307,0.016498565673828125,14.773831998701834,2676.9988885698194
10,0,17,275,0,18.44333291053772,0.0170135498046875,14.775964802669598,2677.417426360434
11,0,16,274,0,20.870617628097534,0.016946792602539062,14.775173856775984,2677.56746331766
12,0,0,275,0,22.478761672973633,0.015020370483398438,14.770105200244151,2668.7475570032157
13,0,15,275,0,19.602134227752686,0.016651153564453125,14.776079866015507,2677.148212612565
14,0,15,275,0,19.819666147232056,0.017232894897460938,14.775979786361257,2677.4514232977594
15,0,15,275,0,19.495927095413208,0.016231536865234375,14.772408104452417,2675.845292160526
16,0,16,275,0,18.980939388275146,0.016956329345703125,14.77607518141302,2677.1583083866117
17,0,0,274,0,20.334527492523193,0.013408660888671875,14.772857290173016,2669.4665782367165
18,0,0,274,0,20.798780918121338,0.014095306396484375,14.771605423738599,2665.6980877455844
19,0,0,274,0,20.46878695487976,0.014181137084960938,14.769906885902056,2665.888491732053
20,0,0,274,0,20.68265438079834,0.013942718505859375,14.769542136863546,2668.933084853172
